Training Loss,Val Loss,Val MAE,Val R2,Val Dimensional Accuracy
0.005229096193447317,0.005453563196055781,0.02806066564288951,0.6803688847351521,0.47838983050847456
0.00462061036192939,0.004512394989260583,0.026805157999404985,0.7471245841763988,0.4851694915254237
0.006194155532119277,0.005819338257671176,0.028054862883190083,0.6763245535347021,0.46059322033898303
0.004754777835594062,0.005058649818016358,0.025593323082556074,0.7002336992565208,0.4728813559322034
0.004274753407530211,0.003997501027691415,0.027109047205084284,0.7811342970693769,0.47584745762711866
0.005733370657308666,0.007036585422130144,0.028158740967132796,0.6602291663796709,0.4703389830508475
0.005156706999927833,0.005034224457064075,0.02476895322649043,0.7026199949056836,0.48771186440677966
0.004319671624960558,0.004121136558597307,0.024870157861079274,0.7707117674418876,0.47796610169491527
0.003001373176547614,0.002579724420674966,0.022077256147007326,0.8536224671012687,0.49830508474576274
0.0035923643395521635,0.004399016553090128,0.022376540435023774,0.736447529151423,0.5046610169491526
0.005544201029393166,0.004151308815531685,0.023617345149941068,0.7576561368745194,0.5072033898305085
0.00956404860313121,0.017958406802716712,0.04165589472404001,0.32075544705935244,0.3805084745762712
0.006116637512163972,0.0040133361507333435,0.02192120045208682,0.7596310720107946,0.5156779661016949
0.004995225996302024,0.003970394467035214,0.021048152318628312,0.7607804513281053,0.5101694915254237
0.0034160858786256567,0.0035685391808560085,0.0188322637598272,0.7826209885991589,0.5279661016949152
0.0031707058595092158,0.0033770684831972053,0.018347929401228983,0.7938259621684725,0.5305084745762711
0.0029464226177934147,0.0029250033213105843,0.01716069880118485,0.8239905127459503,0.5313559322033898
0.0028740533085841557,0.004976017794757292,0.023630831039091867,0.7168133792960036,0.5033898305084745
0.0035514376787900937,0.003488176175510566,0.016320811382332576,0.7855740627407868,0.5419491525423729
0.0030945118768696293,0.0033478129847750652,0.015493070712755533,0.7947033070964151,0.5411016949152543
0.0027693091796016124,0.0027391026251341643,0.014993254033544286,0.8326207935839962,0.5563559322033899
0.0031719705808482654,0.0026852537673637588,0.0170491215777983,0.8355750842935068,0.5601694915254237
0.0019478817410510435,0.0036342499485403157,0.01792397905069342,0.7775718065191461,0.5415254237288135
0.0030605618369670333,0.003231002626964286,0.015482265239108405,0.801640434551739,0.5495762711864407
0.002763047752964529,0.002912095068930254,0.014141169928669855,0.8194312049918866,0.5610169491525424
